Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
Slow 3G,Light,10,104.30,0.00,0.00,true
Slow 3G,Light,11,99.90,0.00,0.00,true
Slow 3G,Light,12,97.30,0.00,0.00,true
Slow 3G,Light,13,124.30,0.00,0.00,true
Slow 3G,Light,14,94.00,0.00,0.00,true
Slow 3G,Light,15,122.90,0.00,0.00,true
Slow 3G,Light,16,106.90,0.00,0.00,true
Slow 3G,Light,17,135.40,0.00,0.00,true
Slow 3G,Light,18,115.90,0.00,0.00,true
Slow 3G,Light,19,109.00,0.00,0.00,true
Slow 3G,Light,20,114.50,0.00,0.00,true
Slow 3G,Light,21,100.00,0.00,0.00,true
Slow 3G,Light,22,119.70,0.00,0.00,true
Slow 3G,Light,23,98.00,0.00,0.00,true
Slow 3G,Light,24,113.00,0.00,0.00,true
Slow 3G,Light,25,95.10,0.00,0.00,true
Slow 3G,Light,26,116.70,0.00,0.00,true
Slow 3G,Light,27,96.10,0.00,0.00,true
Slow 3G,Light,28,97.70,0.00,0.00,true
Slow 3G,Light,29,130.60,0.00,0.00,true
Slow 3G,Light,30,117.80,0.00,0.00,true
Slow 3G,Medium,1,141.90,0.00,0.00,true
Slow 3G,Medium,2,119.50,0.00,0.00,true
Slow 3G,Medium,3,134.10,0.00,0.00,true
Slow 3G,Medium,4,114.50,0.00,0.00,true
Slow 3G,Medium,5,129.80,0.00,0.00,true
Slow 3G,Medium,6,122.80,0.00,0.00,true
Slow 3G,Medium,7,124.20,0.00,0.00,true
Slow 3G,Medium,8,125.40,0.00,0.00,true
Slow 3G,Medium,9,109.30,0.00,0.00,true
Slow 3G,Medium,10,131.90,0.00,0.00,true
Slow 3G,Medium,11,115.50,0.00,0.00,true
Slow 3G,Medium,12,124.20,0.00,0.00,true
Slow 3G,Medium,13,102.60,0.00,0.00,true
Slow 3G,Medium,14,111.20,0.00,0.00,true
Slow 3G,Medium,15,138.00,0.00,0.00,true
Slow 3G,Medium,16,92.90,0.00,0.00,true
Slow 3G,Medium,17,131.40,0.00,0.00,true
Slow 3G,Medium,18,101.70,0.00,0.00,true
Slow 3G,Medium,19,109.00,0.00,0.00,true
Slow 3G,Medium,20,122.20,0.00,0.00,true
Slow 3G,Medium,21,132.10,0.00,0.00,true
Slow 3G,Medium,22,101.40,0.00,0.00,true
Slow 3G,Medium,23,105.90,0.00,0.00,true
Slow 3G,Medium,24,151.40,0.00,0.00,true
Slow 3G,Medium,25,117.40,0.00,0.00,true
Slow 3G,Medium,26,133.40,0.00,0.00,true
Slow 3G,Medium,27,112.60,0.00,0.00,true
Slow 3G,Medium,28,106.40,0.00,0.00,true
Slow 3G,Medium,29,121.50,0.00,0.00,true
Slow 3G,Medium,30,104.80,0.00,0.00,true
Slow 3G,Heavy,1,169.20,0.00,0.00,true
Slow 3G,Heavy,2,155.60,0.00,0.00,true
Slow 3G,Heavy,3,197.10,0.00,0.00,true
Slow 3G,Heavy,4,236.90,0.00,0.00,true
Slow 3G,Heavy,5,207.30,0.00,0.00,true
Slow 3G,Heavy,6,160.10,0.00,0.00,true
Slow 3G,Heavy,7,186.90,0.00,0.00,true
Slow 3G,Heavy,8,197.50,0.00,0.00,true
Slow 3G,Heavy,9,174.80,0.00,0.00,true
Slow 3G,Heavy,10,219.50,0.00,0.00,true
Slow 3G,Heavy,11,183.60,0.00,0.00,true
Slow 3G,Heavy,12,188.90,0.00,0.00,true
Slow 3G,Heavy,13,191.30,0.00,0.00,true
Slow 3G,Heavy,14,187.50,0.00,0.00,true
Slow 3G,Heavy,15,208.00,0.00,0.00,true
Slow 3G,Heavy,16,171.50,0.00,0.00,true
Slow 3G,Heavy,17,170.60,0.00,0.00,true
Slow 3G,Heavy,18,157.70,0.00,0.00,true
Slow 3G,Heavy,19,155.60,0.00,0.00,true
Slow 3G,Heavy,20,1595.50,0.00,0.00,true
Slow 3G,Heavy,21,180.40,0.00,0.00,true
Slow 3G,Heavy,22,168.00,0.00,0.00,true
Slow 3G,Heavy,23,196.10,0.00,0.00,true
Slow 3G,Heavy,24,158.60,0.00,0.00,true
Slow 3G,Heavy,25,156.20,0.00,0.00,true
Slow 3G,Heavy,26,150.30,0.00,0.00,true
Slow 3G,Heavy,27,143.00,0.00,0.00,true
Slow 3G,Heavy,28,162.90,0.00,0.00,true
Slow 3G,Heavy,29,167.40,0.00,0.00,true
Slow 3G,Heavy,30,156.00,0.00,0.00,true
